Designator,Mid X,Mid Y,Rotation,Layer
C1,198.6,-102.0,90.0,top
C2,218.0,-102.1,270.0,top
C3,218.77,-117.93,0.0,top
C4,218.87,-120.13,0.0,top
C5,237.4,-101.8,270.0,top
C6,179.4,-101.9,270.0,top
C7,190.3,-118.9,270.0,top
C8,246.3,-117.3,90.0,top
D1,247.4,-114.5,0.0,top
D2,186.7,-118.1,180.0,top
J1,255.2,-112.0,90.0,top
R1,244.37,-113.3,180.0,top
R2,244.33,-110.3,180.0,top
U1,215.77,-112.73,90.0,top
USB1,182.1,-114.65,270.0,top
USB2,227.7,-99.18,180.0,top
USB3,247.4,-99.18,180.0,top
USB4,208.3,-99.18,180.0,top
USB5,189.1,-99.18,180.0,top
